date,A,B,C
2020-01-01,0.007472014838700995,0.0010993954433009636,0.005385472276337817
2020-01-02,0.004290781417156275,0.0010993954433009636,0.00029995500899797546
2020-01-03,0.008166562666393417,0.003992021269537453,0.001199280575482097
2020-01-04,0.012521280553671747,-0.0047110797301191856,-0.0033054570087265116
2020-01-05,0.003792798238696237,-0.003907624831017062,-0.0006001800720324156
2020-01-06,0.003792798238696237,0.0007996801705643322,0.0012991557316200499
2020-01-07,0.01281750371061443,-0.001100605444033014,-0.0025031302181185303
2020-01-08,0.008761505668572752,0.004290781417156275,0.002097798082146129
2020-01-09,0.0026963615477426086,-0.0006001800720324156,-0.0008003201707691323
2020-01-10,0.0076705063042197,-0.002603385870114881,9.999500033330834e-05
